20	5689	0,195828026573956
3E	2323	0,0799628239991739
30	1518	0,0522529344945097
35	1482	0,0510137344669719
3D	1425	0,0490516677567037
38	1324	0,0455750232350005
42	1274	0,0438539120856425
41	1129	0,0388626897525042
3B	1014	0,0349041341089808
40	1010	0,0347664452170321
32	934	0,0321503562700079
0A	909	0,0312898006953289
3A	734	0,0252659116725758
34	633	0,0217892671508726
43	632	0,0217548449278854
3F	613	0,0211008226911294
3C	602	0,0207221782382706
31	464	0,0159719114660425
2C	447	0,0153867336752607
4C	426	0,0146638669925304
2D	414	0,0142508003166845
4F	413	0,0142163780936973
37	409	0,0140786892017486
4B	402	0,0138377336408385
33	349	0,012013355822519
47	300	0,0103266668961482
39	292	0,0100512891122509
2E	240	0,00826133351691852
45	232	0,00798595573302124
36	219	0,00753846683418815
48	143	0,00492237788716395
4E	130	0,00447488898833087
22	128	0,00440604454235655
4D	89	0,00306357784585729
21	89	0,00306357784585729
3B	78	0,00268493339299852
3A	71	0,0024439778320884
46	63	0,00216860004819111
49	56	0,00192764448728099
29	34	0,00117035558156346
28	34	0,00117035558156346
5B	32	0,00110151113558914
5D	32	0,00110151113558914
44	26	0,000894977797666173
31	25	0,000860555574679013
4A	11	0,000378644452858766
6E	10	0,000344222229871605
61	9	0,000309800006884445
65	8	0,000275377783897284
73	7	0,000240955560910124
69	7	0,000240955560910124
74	7	0,000240955560910124
39	7	0,000240955560910124
3F	7	0,000240955560910124
62	6	0,000206533337922963
32	6	0,000206533337922963
72	6	0,000206533337922963
34	6	0,000206533337922963
68	5	0,000172111114935803
35	5	0,000172111114935803
6F	5	0,000172111114935803
36	5	0,000172111114935803
33	4	0,000137688891948642
6C	4	0,000137688891948642
6B	4	0,000137688891948642
67	4	0,000137688891948642
38	4	0,000137688891948642
30	4	0,000137688891948642
75	3	0,000103266668961482
64	3	0,000103266668961482
63	3	0,000103266668961482
66	3	0,000103266668961482
6A	3	0,000103266668961482
6D	3	0,000103266668961482
37	2	6,8844445974321E-05
77	2	6,8844445974321E-05
79	2	6,8844445974321E-05
2A	2	6,8844445974321E-05
2F	2	6,8844445974321E-05
