20	56825	0,199065364903541
3E	22888	0,0801796405087946
35	17776	0,062271639710081
30	17346	0,0607652937900014
3D	13901	0,0486970107791312
38	13076	0,0458069284906064
42	12469	0,0436805285522614
41	10704	0,0374975040198417
3B	10447	0,0365971995978407
40	8710	0,0305122627067285
32	8615	0,0301794653522923
3A	7584	0,026567738274148
3C	6739	0,0236075933846892
34	6500	0,0227703453035287
43	6318	0,0221327756350299
3F	5407	0,0189414241624892
4F	5289	0,018528054816979
2C	5226	0,0183073576240371
0A	4490	0,0157290539096683
4C	4188	0,0146711086355659
2E	4162	0,0145800272543518
4B	4001	0,0140160233168336
33	3872	0,0135641195408097
37	3802	0,0133189004375409
31	3726	0,013052662553992
47	3710	0,0129966124732448
39	2370	0,00830241821067123
36	2311	0,00809573353791613
2D	2196	0,007692873582546
48	1936	0,00678205977040486
45	1699	0,00595181794933773
4E	1517	0,00531424828083893
3B	783	0,00274295082656353
46	745	0,00260983188478906
4D	601	0,00210538115806473
21	579	0,0020283122970374
49	573	0,00200729351675722
3F	527	0,00184614953460917
3A	467	0,00163596173180737
22	368	0,00128915185718439
44	148	0,000518463246911115
65	83	0,000290759793875828
4A	70	0,000245219103268771
29	60	0,000210187802801803
28	55	0,00019267215256832
69	51	0,000178659632381533
31	50	0,000175156502334836
72	42	0,000147131461961262
61	37	0,000129615811727779
6E	33	0,000115603291540992
74	31	0,000108597031447598
73	31	0,000108597031447598
6D	29	0,000101590771354205
75	28	9,80876413075083E-05
6F	27	9,45845112608115E-05
63	21	7,35657309806312E-05
6C	21	7,35657309806312E-05
70	20	7,00626009339345E-05
32	18	6,3056340840541E-05
34	17	5,95532107938443E-05
33	16	5,60500807471476E-05
38	13	4,55406906070574E-05
68	11	3,8534430513664E-05
64	11	3,8534430513664E-05
36	10	3,50313004669672E-05
35	10	3,50313004669672E-05
30	10	3,50313004669672E-05
39	9	3,15281704202705E-05
66	9	3,15281704202705E-05
76	6	2,10187802801803E-05
37	6	2,10187802801803E-05
67	5	1,75156502334836E-05
2F	5	1,75156502334836E-05
2A	5	1,75156502334836E-05
78	4	1,40125201867869E-05
6A	4	1,40125201867869E-05
71	3	1,05093901400902E-05
62	2	7,00626009339345E-06
7A	2	7,00626009339345E-06
60	1	3,50313004669672E-06
79	1	3,50313004669672E-06
6B	1	3,50313004669672E-06
