20	5087	0,185379541561896
3E	2145	0,0781677052585547
30	1478	0,0538610108961044
35	1477	0,053824569075471
38	1381	0,0503261542946686
3D	1310	0,0477387850297001
42	1183	0,0431106738092635
41	1002	0,0365147042746256
40	969	0,0353121241937247
3B	953	0,034729055063591
0A	905	0,0329798476731898
32	863	0,0314492912065887
3A	810	0,0295178747130207
3F	637	0,0232134397434496
43	624	0,0227396960752159
34	601	0,0219015342006487
3C	597	0,0217557669181152
2C	539	0,0196421413213804
31	507	0,0184760030611129
4C	444	0,0161801683612113
4F	396	0,0144309609708101
2D	360	0,0131190554280092
37	351	0,012791079042309
4B	337	0,0122808935534419
33	308	0,0112240807550745
47	284	0,0103494770598739
39	282	0,0102765934186072
2E	259	0,00943843154403994
45	187	0,0068146204584381
36	180	0,00655952771400459
48	151	0,00550271491563719
4E	106	0,00386283298713604
27	83	0,00302467111256878
49	74	0,00269669472686855
21	73	0,0026602529062352
4D	68	0,0024780438030684
46	58	0,00211362559673481
3A	42	0,00153055646660107
28	38	0,00138478918406764
29	38	0,00138478918406764
22	27	0,000983929157100689
44	24	0,000874603695200612
3B	23	0,000838161874567253
72	13	0,000473743668233665
65	13	0,000473743668233665
2A	12	0,000437301847600306
3F	10	0,000364418206333588
6F	10	0,000364418206333588
4A	9	0,00032797638570023
73	9	0,00032797638570023
61	9	0,00032797638570023
74	8	0,000291534565066871
6C	8	0,000291534565066871
6E	7	0,000255092744433512
69	7	0,000255092744433512
68	7	0,000255092744433512
64	6	0,000218650923800153
31	5	0,000182209103166794
62	5	0,000182209103166794
32	5	0,000182209103166794
67	4	0,000145767282533435
30	4	0,000145767282533435
6D	4	0,000145767282533435
37	3	0,000109325461900077
36	3	0,000109325461900077
34	2	7,28836412667177E-05
63	2	7,28836412667177E-05
77	2	7,28836412667177E-05
38	2	7,28836412667177E-05
66	2	7,28836412667177E-05
70	2	7,28836412667177E-05
6B	2	7,28836412667177E-05
75	2	7,28836412667177E-05
60	1	3,64418206333588E-05
79	1	3,64418206333588E-05
39	1	3,64418206333588E-05
